GeneID	PRAD_N_1	PRAD_N_2	PRAD_N_3	PRAD_N_4	PRAD_N_5	PRAD_N_6	PRAD_N_7	PRAD_N_8	PRAD_N_9	PRAD_T_1	PRAD_T_2	PRAD_T_3	PRAD_T_4	PRAD_T_5	PRAD_T_6	PRAD_T_7	PRAD_T_8	PRAD_T_9
ENSG00000227372	1516	1590	1856	2076	1400	1239	1743	2648	2437	2628	757	1071	2612	2179	1571	1383	1148	788
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	5	45	10	65	29	25	31	23	39	13	4	2	6	9	5	4	2	3
ENSG00000235169	199	190	200	293	104	133	138	269	376	153	371	124	292	136	171	236	275	108
ENSG00000130764	4464	4583	3769	5294	3362	4788	4281	5683	5980	4589	2378	2607	5480	3194	3427	3243	2687	2176
ENSG00000266075	11	6	3	10	6	4	4	5	9	16	6	4	9	3	6	0	1	6
ENSG00000272153	14	32	36	56	26	36	31	34	46	62	32	23	100	38	33	23	28	42
ENSG00000116198	1676	2724	2124	3362	2566	2299	2195	3495	2543	3018	1338	1200	3595	1647	1928	1672	1182	758
ENSG00000169598	236	190	303	274	302	376	277	517	434	553	199	158	562	447	312	340	223	279
ENSG00000198912	916	929	946	1220	1042	1173	1030	1479	1439	1696	558	632	1664	874	825	1022	700	536
ENSG00000236423	35	28	33	35	20	28	38	41	41	147	57	59	251	27	55	191	32	32
ENSG00000233304	5	17	0	5	2	2	8	4	23	10	0	3	5	13	7	3	8	2
ENSG00000226374	9	3	2	15	0	1	4	3	23	1	2	7	2	12	0	0	19	0
ENSG00000229280	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	9	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	128	203	123	42	26	111	77	214	70	179	180	79	115	185	17	24	161	13
ENSG00000277731	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000231510	5	0	1	1	1	0	6	1	4	2	17	3	7	5	1	2	6	2
ENSG00000260972	0	0	1	2	1	3	1	0	1	1	0	0	1	1	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000216045	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	358	592	544	584	665	521	533	835	611	924	352	463	1047	555	667	490	326	486
ENSG00000266687	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000069424	386	813	464	962	427	619	424	924	650	871	558	290	502	523	539	376	656	699
ENSG00000116254	29	208	83	135	109	189	241	343	222	176	101	25	64	171	258	37	100	51
ENSG00000116251	38164	26124	20018	35676	26781	37212	27825	31975	42261	50188	20621	18221	14342	21653	20101	19725	18515	24323
ENSG00000226944	15	20	47	32	15	20	16	34	21	11	14	6	7	34	6	89	19	7
ENSG00000158286	239	361	612	620	1269	811	852	1275	723	487	359	279	746	1426	427	623	512	443
ENSG00000116237	8278	6157	5011	7335	4486	7386	5413	6859	6723	6979	3255	3600	3609	2764	4109	4782	3401	2221
ENSG00000225077	8	7	13	7	7	10	9	17	18	34	36	8	31	13	13	17	2	16
ENSG00000173673	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	290	1112	350	536	1128	488	297	1070	692	576	266	97	331	276	715	93	558	289
ENSG00000097021	1000	1308	710	1143	845	1019	886	1360	1908	920	576	613	959	523	704	726	646	574
ENSG00000271746	15	17	18	13	17	24	8	21	33	29	18	13	19	16	20	61	13	11
ENSG00000069812	361	431	266	376	1023	492	433	876	705	293	650	498	87	255	127	113	123	135
ENSG00000187017	245	504	305	433	805	324	350	664	500	69	262	126	38	313	57	59	185	279
ENSG00000265392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	3	2	3	4	12	14	9	7	7	15	25	7	14	3	3	1	4	9
ENSG00000215788	77	120	146	178	415	291	334	378	209	208	265	83	344	442	165	122	330	177
ENSG00000171680	470	963	587	963	1318	991	1097	1782	1218	560	519	318	551	1094	373	180	672	284
ENSG00000162408	1449	1448	1213	1664	1576	1673	1379	1491	1302	1635	974	1026	1250	1226	1077	1015	791	762
ENSG00000253022	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	0	2	3	2	1	1	1	2	1	5	18	0	3	0	4	3	2	1
ENSG00000173662	6	4	9	16	6	4	7	10	8	12	13	5	9	6	7	15	4	7
ENSG00000204859	1290	1105	1110	1811	2108	2151	2004	1858	1873	2427	1726	1312	1541	1892	989	991	1182	832
ENSG00000162413	3251	5012	4510	4981	3088	3802	3965	6949	5214	4947	2057	1497	2609	4745	2089	2411	2750	1825
ENSG00000116273	1649	1967	1247	2274	2172	1801	1574	2001	1696	2090	1225	1508	1267	1881	1164	1076	1666	753
ENSG00000041988	1099	783	784	1119	648	1091	972	1075	1861	1121	704	498	778	630	604	1007	946	460
ENSG00000007923	2667	2842	2444	3304	2770	3029	2927	4035	3008	3287	1640	2113	2164	2072	1880	2141	1292	1612
ENSG00000228750	11	13	24	14	15	17	22	15	11	67	10	18	28	36	15	48	11	32
ENSG00000237436	9	5	6	3	8	14	12	11	10	6	8	6	6	8	2	106	6	6
